Location,TimeFrame,DataFormat,Data
Frederick,2001,Number,61087
Frederick,2002,Number,62796
Frederick,2003,Number,64562
Frederick,2004,Number,66345
Frederick,2005,Number,68503
Frederick,2006,Number,70708
Frederick,2007,Number,72648
Frederick,2008,Number,73769
Frederick,2009,Number,74972
Frederick,2010,Number,78305
Frederick,2011,Number,79666
Fredericksburg,2000,Number,19279
Fredericksburg,2001,Number,19901
Fredericksburg,2002,Number,20294
Fredericksburg,2003,Number,20399
Fredericksburg,2004,Number,21262
Fredericksburg,2005,Number,21270
Fredericksburg,2006,Number,22010
Fredericksburg,2007,Number,22379
Fredericksburg,2008,Number,22717
Fredericksburg,2009,Number,23193
Fredericksburg,2010,Number,24286
Fredericksburg,2011,Number,25691
Galax,2000,Number,6837
Galax,2001,Number,6706
Galax,2002,Number,6668
Galax,2003,Number,6669
Galax,2004,Number,6714
Galax,2005,Number,6737
Galax,2006,Number,6796
Galax,2007,Number,6796
Galax,2008,Number,6823
Galax,2009,Number,6880
Galax,2010,Number,7042
Galax,2011,Number,6983
Giles,2000,Number,16657
Giles,2001,Number,16793
Giles,2002,Number,16806
Giles,2003,Number,16825
Giles,2004,Number,16801
Giles,2005,Number,16983
Giles,2006,Number,17191
Giles,2007,Number,17196
Giles,2008,Number,17237
Giles,2009,Number,17358
Giles,2010,Number,17286
Gloucester,2000,Number,34780
Gloucester,2001,Number,35171
Gloucester,2002,Number,35656
Gloucester,2003,Number,36306
Gloucester,2004,Number,36754
Gloucester,2005,Number,37295
Gloucester,2006,Number,37717
Gloucester,2007,Number,38257
Gloucester,2008,Number,38693
Gloucester,2009,Number,39184
Gloucester,2010,Number,36858
Goochland,2000,Number,16863
Goochland,2001,Number,17256
Goochland,2002,Number,17606
Goochland,2003,Number,18004
Goochland,2004,Number,18488
Goochland,2005,Number,19211
Goochland,2006,Number,19993
Goochland,2007,Number,20636
Goochland,2008,Number,20995
Goochland,2009,Number,21311
Goochland,2010,Number,21717
Grayson,2000,Number,17917
Grayson,2001,Number,16629
Grayson,2002,Number,16638
Grayson,2003,Number,16478
Grayson,2004,Number,16364
Grayson,2005,Number,16207
Grayson,2006,Number,16149
Grayson,2007,Number,16128
Grayson,2008,Number,16003
Grayson,2009,Number,15793
Grayson,2010,Number,15533
Greene,2000,Number,15244
Greene,2001,Number,15742
Greene,2002,Number,16287
Greene,2003,Number,16670
Greene,2004,Number,16906
Greene,2005,Number,17176
Greene,2006,Number,17638
Greene,2007,Number,18017
Greene,2008,Number,18197
Greene,2009,Number,18421
Greene,2010,Number,18403
Greensville,2000,Number,11560
Greensville,2001,Number,11506
Greensville,2002,Number,11524
Greensville,2003,Number,11720
Greensville,2004,Number,11254
Greensville,2005,Number,11844
Greensville,2006,Number,11806
Greensville,2007,Number,11906
Greensville,2008,Number,11973
Greensville,2009,Number,12049
Greensville,2010,Number,12243
Halifax,2000,Number,37355
Halifax,2001,Number,36865
Halifax,2002,Number,36658
Halifax,2003,Number,36248
Halifax,2004,Number,35867
