Name,Description
Little Stony Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Little Stony Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Comments</td> <td>9"" Minimum.</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Shenandoah</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Length (Miles)</td> <td>4.206884</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Not Stocked in the Fall</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td>Y</td> </tr> </table> </body> </html>"
North Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>North Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Comments</td> <td>Catch and Release. Wild Rainbows and Brooks.</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Botetourt</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Length (Miles)</td> <td>2.81147</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Not Stocked in the Fall</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td>Y</td> </tr> </table> </body> </html>"
North Fork Buffalo River,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>North Fork Buffalo River</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Comments</td> <td>9"" Minimum. Wild brook.</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Amherst</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Length (Miles)</td> <td>0.628933</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Not Stocked in the Fall</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td>Y</td> </tr> </table> </body> </html>"
Big Wilson Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Big Wilson Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Comments</td> <td>9"" Minimum</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Grayson</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Length (Miles)</td> <td>4.157801</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Not Stocked in the Fall</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Smith River,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Smith River</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Comments</td> <td>Limit 1 Brown Trout minimum 24"".  Brown trout must be &lt; 10"" or &gt; 24"".  6 trout limit.</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Henry</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Length (Miles)</td> <td>30.74896</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Not Stocked in the Fall</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Roaring Run,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Roaring Run</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Comments</td> <td>16"" Minimum. 2 trout limit. Stock Fingerling Brook Trout (PGT)</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Botetourt</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Length (Miles)</td> <td>1.023117</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Not Stocked in the Fall</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td>Y</td> </tr> </table> </body> </html>"
South Fork Stewarts Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>South Fork Stewarts Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Comments</td> <td>Catch and Release.</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Carroll</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Length (Miles)</td> <td>2.292469</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Not Stocked in the Fall</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Spring Run,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Spring Run</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Comments</td> <td>Catch and Release.</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Bath</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Length (Miles)</td> <td>0.427006</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Not Stocked in the Fall</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Jackson River (HV Spec Reg),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Jackson River (HV Spec Reg)</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Comments</td> <td>16"" Minimum. 2 trout limit. Trout license required from Oct 1 through June 15.</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Bath</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Length (Miles)</td> <td>2.745828</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Not Stocked in the Fall</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td>Y</td> </tr> </table> </body> </html>"
Smith Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Smith Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Comments</td> <td>12"" Minimum.</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Alleghany</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Length (Miles)</td> <td>1.698973</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Not Stocked in the Fall</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td>Y</td> </tr> </table> </body> </html>"
Jackson River Tailwater,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Jackson River Tailwater</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Comments</td> <td>Limit 1 Brown Trout minimum 20"".  No Rainbow trout between 12 - 16"".  4 trout limit.</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Alleghany</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Length (Miles)</td> <td>21.283686</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Not Stocked in the Fall</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
South River,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>South River</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Comments</td> <td>16"" Minimum. 2 trout limit. Requires a written landowner permit.</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Augusta</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Length (Miles)</td> <td>5.436072</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Not Stocked in the Fall</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Saint Mary's River,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Saint Mary's River</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Comments</td> <td>9"" Minimum.</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Augusta</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Length (Miles)</td> <td>4.199257</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Not Stocked in the Fall</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td>Y</td> </tr> </table> </body> </html>"
Ramsey's Draft,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Ramsey's Draft</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Comments</td> <td>9"" Minimum.</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Augusta</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Length (Miles)</td> <td>4.23649</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Not Stocked in the Fall</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td>Y</td> </tr> </table> </body> </html>"
Mossy Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Mossy Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Comments</td> <td>20"" Minimum. 1 trout limit. Fly fishing only. Requires a written landowner permit.</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Augusta</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Length (Miles)</td> <td>3.386484</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Not Stocked in the Fall</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Buffalo Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Buffalo Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Comments</td> <td>16"" Minimum. 2 trout limit. Requires a written landowner permit.</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Rockbridge</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Length (Miles)</td> <td>2.722053</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Not Stocked in the Fall</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Conway River,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Conway River</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Comments</td> <td>9"" Minimum.</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Madison</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Length (Miles)</td> <td>3.509961</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Not Stocked in the Fall</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Devil's Ditch,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Devil's Ditch</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Comments</td> <td>9"" Minimum.</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Greene</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Length (Miles)</td> <td>2.823377</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Not Stocked in the Fall</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Rapidan River,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Rapidan River</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Comments</td> <td>Catch and Release.</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Madison</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Length (Miles)</td> <td>6.987196</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Not Stocked in the Fall</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
North Fork Moorman's River,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>North Fork Moorman's River</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Comments</td> <td>Catch and Release.</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Albemarle</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Length (Miles)</td> <td>3.135089</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Not Stocked in the Fall</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
East Fork Chesnut Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>East Fork Chesnut Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Comments</td> <td>Catch and Release.  AKA Farmers Creek.</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Grayson</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Length (Miles)</td> <td>1.247265</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Not Stocked in the Fall</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
