RECORD CONTROL NUMBER,LICENSEE NAME,ABC LICENSE #,PHYSICAL ADDRESS,CITY,STATE,ZIP,CHARGES,NUMBER OF CHARGES,REPEAT ABC OFFENSE?,REGION,DISPOSITION METHOD,VIOLATION DATE,CONTINUANCE?,DATE AVAILABLE TO H & A,DATE HEARD,DECISION DATE,DISPOSITION DATE,SUSPENSION (DAYS), CIVIL PENALTY ($) ,MANDATORY SUSP. W/ CIVIL PENALTY (DAYS),PROBATION (MONTHS),REVOKED (Y/N),DISMISSED (Y/N),OTHER
238,EXPRESSO ITALIAN RESTAURANT & PANCAKE HOUSE,69047,1626 RICHMOND ROAD,CHARLOTTESVILLE,VA,22911,UAB,1,N,ST,CS,10/12/2011,N,10/19/2011,,,11/21/2011,25,,,,,,
38,EDWARD W. THOMAS,2134,13027 JAMES MADISON HIGHWAY,PALMYRA,VA,22963,UAB,1,Y,LY,CS,6/15/2011,N,6/30/2011,,,7/28/2011,," $ 2,000.00 ",,,,,
635,LORD HARDWICKES NATE & EMS PIZZA,51294,"5920 SEMINOLE TR, STE 101 &102",RUCKERSVILLE,VA,22968,UAB,1,N,ST,IH,10/5/2012,N,11/17/2011,3/7/2012,5/4/2012,6/18/2012,25," $ 2,000.00 ",,,,,
218,BIG K-MART #7717,4498,2712 W MAIN STREET,WAYNESBORO,VA,22980,UAB,1,N,ST,CS,10/12/2011,N,10/17/2011,,,11/15/2011,," $ 2,000.00 ",,,,,
258,CVS PHARMACY #74,62844,2823 W MAIN STREET,WAYNESBORO,VA,22980,UAB,1,N,ST,CS,10/19/2011,N,10/21/2011,,,12/1/2011,," $ 2,000.00 ",,,,,
328,EL PUERTO MEXICAN RESTAURANT 17,6861,2105 W. MAIN STREET,WAYNESBORO,VA,22980,UAB,1,N,ST,OC,10/19/2011,N,10/21/2011,,,12/15/2011,," $ 2,000.00 ",,,,,
520,WYANTS STORE,51393,4771 BROWNS GAP TURNPIKE,WHITE HALL,VA,22987,UAB,1,N,ST,CS,3/2/2012,N,3/7/2012,,,4/3/2012,," $ 2,000.00 ",,,,,
68,JADE CHINESE RESTAURANT,52497,10180 LAKERIDGE PKWY,ASHLAND,VA,23005,UAB,1,Y,RI,OC,4/6/2011,N,4/13/2011,5/26/2011,6/13/2011,8/2/2011,20,,,,,,
195,FOOD LION 2507,12050,11371 NUCKOL;S ROAD,GLEN ALLEN,VA,23059,UAB,1,Y,RI,CS,9/20/2011,N,10/6/2000,,,11/4/2011,," $ 2,000.00 ",,,,,
472,JJS GRILLE,45980,10298 STAPLES MILL RD,GLEN ALLEN,VA,23060,UAB,1,N,RI,IH,9/29/2011,N,11/15/2011,12/13/2011,1/25/2012,2/28/2012,20," $ 1,750.00 ",,,,,
536,SILVER DINER,54420,10890 W BROAD STREET,GLEN ALLEN,VA,23060,UAB,1,N,RI,CS,3/7/2012,N,3/28/2012,,,4/10/2012,," $ 2,000.00 ",,,,,
604,PLAZA GUADALAJARA,41364,4348 POUNCEY TRACT ROAD,GLEN ALLEN,VA,23060,UAB,1,N,RI,CS,4/24/2012,N,5/4/2012,,,5/31/2012,," $ 2,000.00 ",,,,,
267,PIZZA HUT #4501,55029,1725 GEORGE WASHINGTON MEMORIAL HIGHWAY,GLOUCESTER,VA,23062,UAB,1,N,HA,CS,10/17/2011,N,10/27/2011,,,12/6/2011,25,,,,,,
528,RAINBOW ACRES CAMPING RESORT & RV SA,75175,514 JAMES ROAD,KING AND QUEEN COURT HOUSE,VA,23085,UAB,1,Y,RI,CS,3/10/2012,N,3/27/2012,,,4/5/2012,25,,,,,,
639,STOP IN FOOD STORE 139,58062,45 BROAD STREET RD,MANAKIN SABOT,VA,23103,UAB,1,N,RI,IH,11/16/2011,N,12/19/2011,3/15/2012,5/16/2012,6/19/2012,,,,48,,,PROBATION WITH CONDITIONS
305,CULLENS COVE,61663,6233 MECHANICSVILLE TURNPIKE,MECHANICSVILLE,VA,23111,UAB,1,Y,RI,CS,6/15/2011,N,7/8/2011,,,12/15/2011,," $ 2,000.00 ",,,,,
583,AMOCO,73774,11200 HULL STREET ROAD,MIDLOTHIAN,VA,23112,UAB,1,N,RI,AH,9/19/2011,Y,11/4/2011,1/17/2012,2/29/2012,5/17/2012,," $ 1,500.00 ",,,,,
283,FAMOUS DAVES,14816,10201 MIDLOTHIAN TURNPIKE,RICHMOND,VA,23112,UAB,1,N,RI,CS,10/22/2011,N,11/16/2011,,,12/8/2011,," $ 2,000.00 ",,,,,
304,SHOGUN JAPENESE STEAK AND SUSHI RESTAURANT,44985,7020 WOODLAKE COMMONS LOOP,MIDLOTHIAN,VA,23112,UAB,1,N,RI,CS,10/25/2011,N,11/22/2011,,,12/15/2011,," $ 2,000.00 ",,,,,
594,TAYLORS AT MARKET SQUARE,26458,4922 MILLRIDGE PARKWAY E,MIDLOTHIAN,VA,23112,UAB,1,N,RI,CS,4/3/2012,N,4/23/2012,,,5/24/2012,," $ 2,000.00 ",,,,,
56,FOOD LION 477,9705,13100 MIDLOTHIAN TPKE,MIDLOTHIAN,VA,23113,UAB,1,Y,RI,OC,4/20/2011,Y,6/1/2011,,,7/29/2011,," $ 5,000.00 ",,,,,
309,Q BARBECUE,54774,2077 WALMART WAY,MIDLOTHIAN,VA,23113,UAB,1,N,RI,CS,10/22/2011,N,11/17/2011,,,12/15/2011,," $ 2,000.00 ",,,,,
376,INDEPENDENCE GOLF CLUB,14317,600 FOUNDERS BRIDGE BOULEVARD,MIDLOTHIAN,VA,23113,UAB,1,N,RI,CS,10/27/2011,N,12/6/2011,,,1/9/2012,," $ 2,000.00 ",,,,,
591,PLAZA AZTECA MEXICAN RESTAURANT,65607,"15801 WC MAIN ST, SUITE 405",MIDLOTHIAN,VA,23113,UAB,1,N,RI,CS,4/17/2012,N,5/3/2012,,,5/24/2012,," $ 2,000.00 ",,,,,
614,FOOD LION 477,9705,13100 MIDLOTHIAN TPKE,MIDLOTHIAN,VA,23113,UAB,1,Y,RI,OC,9/21/2011,Y,11/3/2011,3/14/2012,5/8/2012,6/1/2012,," $ 7,500.00 ",6,,,,RSVP FOR ALL EMPLOYEES
220,OWENS CREEK CORNER STORE,42237,1534 OWENS CREEK ROAD,MINERAL,VA,23117,UAB,1,Y,RI,CS,9/24/2011,N,10/18/2011,,,11/15/2011,," $ 2,000.00 ",,,,,
377,JOHNNYS QUICK STOP,66615,2172 PENDLETON ROAD,MINERAL,VA,23117,UAB,1,N,RI,CS,11/15/2011,N,12/1/2011,,,1/9/2012,," $ 2,000.00 ",,,,,
343,CIOLONIAL DOWNS FOOD & BEVERAGE,64852,10700 HORSEMENTS ROAD,NEW KENT,VA,23124,UAB,1,N,RI,CS,11/5/2011,N,11/29/2011,,,1/3/2012,25,,,,,,
475,7 ELEVEN STORE 2516 34063H,50313,2646 GENERAL PULLER HWY,SALUDA,VA,23149,UAB,1,N,HA,IH,10/14/2011,N,11/9/2011,1/14/2012,1/20/2012,2/28/2012,30," $ 3,000.00 ",10,,,,
219,COURTYARD RICHMONDAIRPORT,65520,5400 WILLIAMSBURG ROAD,SANDSTON,VA,23150,UAB,1,N,RI,CS,9/29/2011,N,10/19/2011,,,11/15/2011,," $ 2,000.00 ",,,,,
477,CHUCKS ORIGINAL SUPERMARKET,65111,390 E WILLIAMSBURG ROAD,SANDSTON,VA,23150,UAB,1,N,RI,CS,9/29/2011,N,2/1/2012,,,2/29/2012,25,,,,,,
488,CHUCKS ORIGINAL SUPERMARKET,47210,390 E WILLIAMSBURG ROAD,SANDSTON,VA,23150,UAB,1,N,RI,IH,9/29/2011,Y,11/21/2011,1/26/2012,1/31/2012,3/9/2012,,,,,,,CHARGE WITHDRAWN
362,VA023 SUNOCO CORNER MART,33432,1510 RICHMOND ROAD,WILLIAMSBURG,VA,23185,UAB,1,N,HA,CS,11/22/2011,N,12/6/2011,,,1/3/2012,," $ 2,000.00 ",,,,,
443,BISTRO 515,43542,515 BYPASS ROAD,WILLIAMSBURG,VA,23185,UAB,1,N,HA,OC,11/12/2011,N,11/12/2011,,,2/3/2012,, $ 100.00 ,4,,,,
587,BLACK ANGUS GRILLE/LEGENDS ALE HOUSE,63920,1433 RICHMOND RD,WILLIAMSBURG,VA,23185,UAB,1,N,HA,IH,11/12/2011,N,1/6/2012,2/7/2012,4/13/2012,5/16/2012,15," $ 1,500.00 ",,,,,
53,MONTICELLO SHELL,27554,4625 MONTICELLO AVENUE,WILLIAMSBURG,VA,23188,UAB,1,Y,HA,OC,5/16/2011,N,5/23/2011,,,7/22/2011,," $ 2,500.00 ",10,,,,
15,HILTON GARDEN INN RICHMOND DOWNTOWN,56598,501 E BROAD ST,RICHMOND,VA,23219,UAB,1,N,RI,IH,3/21/2011,N,4/5/2011,5/26/2011,6/10/2011,7/13/2011,,,,,,Y,
95,PICCOLA ITALY PIZZA & SUBS,3321,1100 W MAIN ST,RICHMOND,VA,23220,UAB,1,N,RI,IH,3/23/2011,N,4/26/2011,6/21/2011,7/28/2011,8/31/2011,25," $ 2,000.00 ",,,,,
109,7 ELEVENT STORE 20728A,63585,1101 W MAIN ST,RICHMOND,VA,23220,UAB,1,N,RI,IH,4/1/2011,N,5/13/2011,6/21/2011,8/2/2011,9/13/2011,25," $ 2,000.00 ",,,,,
431,7ELEVEN STORE 20728A,63585,1101 W. MAIN ST.,RICHMOND,VA,23220,UAB,1,Y,RI,IH,9/15/2011,N,9/28/2011,11/2/2011,12/13/2011,1/26/2012,30," $ 3,000.00 ",,,,,
125,PIE,48110,214 N LOMBARDY ST,RICHMOND,VA,23220,UAB; LICENSEE FAILED TO HAVE DESIGNATED MANAGER PRESENT AND IN ACTUAL CHARGE,2,Y,RI,IH,6/7/2011,N,6/23/2011,7/28/2011,8/16/2011,9/28/2011,30," $ 3,500.00 ",10,,,,
172,CALIENTE,26594,2922 PARK AVENUE,RICHMOND,VA,23221,UAB,1,Y,RI,OC,4/5/2011,N,4/15/2011,5/27/2011,6/15/2011,10/26/2011,," $ 4,500.00 ",,,,,
153,NORTH SIDE FOOD MART & DELI,67420,3100 CAROLINA AVENUE,RICHMOND,VA,23222,UAB,1,N,RI,OC,8/16/2011,N,8/30/2011,,,10/13/2011,," $ 1,500.00 ",,,,,
251,Q MART,68029,4300 NINE MILE ROAD,RICHMOND,VA,23223,UAB,1,N,RI,OC,9/29/2011,N,10/18/2011,,,12/1/2011,,,,,,,SELLER TO ATTEND RSVP ON 11-16-11.
363,CLAY ST MARKET,78352,501 N 30TH STREET,RICHMOND,VA,23223,UAB,1,N,RI,CS,11/10/2011,N,12/5/2011,,,1/3/2012,," $ 2,000.00 ",,,,,
486,MAURY FOOD MARKET,25676,914 MAURY ST,RICHMOND,VA,23224,UAB,1,N,RI,IH,10/27/2011,Y,12/19/2011,1/26/2012,2/2/2012,3/9/2012,,,,,,Y,
534,7 ELEVEN STORE 23933-A,70124,2525 BROAD ROCK BOULEVARD,RICHMOND,VA,23224,UAB,1,N,RI,CS,3/14/2012,N,3/26/2012,,,4/10/2012,," $ 2,000.00 ",,,,,
627,VINNYS ITALIAN GRILL,53104,"7029 FOREST HILL AVE, SUITE B",rICHMOND,VA,23225,UAB,1,N,RI,CS,4/30/2012,N,5/14/2012,,,6/8/2012,," $ 2,000.00 ",,,,,
214,HORSEPEN FOOD & COIN LAUNDRY,14775,6420 HORSEPEN RD,RICHMOND,VA,23226,UAB,1,N,RI,IH,10/29/2010,N,6/13/2011,9/6/2011,10/13/2011,11/16/2011,25," $ 2,000.00 ",,,,,
70,PHO 79,26199,6909 STAPLES MILL RD,RICHMOND,VA,23228,UAB,1,Y,RI,IH,4/21/2011,N,5/9/2011,6/16/2011,6/28/2011,8/2/2011,,,,,,Y,
442,WING ZONE,66222,8310 STAPLES MILL ROAD,RICHMOND,VA,23228,UAB,1,N,RI,OC,11/9/2011,Y,11/21/2011,,,2/3/2012,15,,,,,,
301,GOLDYS,55836,4024 W BROAD STREET,RICHMOND,VA,23230,UAB,1,N,RI,CS,11/9/2011,N,11/28/2011,,,12/15/2011,," $ 2,000.00 ",,,,,
630,WEST BROAD SHELL,64835,4803 W BROAD STREET,RICHMOND,VA,23230,UAB,1,N,RI,CS,4/3/2012,N,4/23/2012,,,6/13/2012,," $ 2,000.00 ",,,,,
659,VARINA EXXON,56956,3275 NEW MARKET ROAD,RICHMOND,VA,23231,UAB,1,N,RI,CS,5/17/2012,N,5/29/2012,,,6/25/2012,," $ 2,000.00 ",,,,,
380,OCHARLEYS 328,11998,9927 MARYLAND DRIVE,RICHMOND,VA,23233,UAB,1,N,RI,CS,11/23/2011,N,11/30/2011,,,1/9/2012,," $ 2,000.00 ",,,,,
624,VARIEDADES LATINAS,63254,4626 JEFFERSON DAVIS HIGHWAY,RICHMOND,VA,23234,UAB,1,N,RI,CS,4/30/2012,N,5/15/2012,,,6/8/2012,25,,,,,,
324,7 ELEVEN STORE 2515 16222 H,11386,5549 BELMONT ROAD,RICHMOND,VA,23234,UAB,1,Y,RI,OC,11/22/2011,Y,11/16/2011,,,12/16/2011,," $ 5,000.00 ",20,,,,
551,GOLDEN FOOD MART,52114,2701 JEFFERSON DAVIS HWY,RICHMOND,VA,23234,UAB,1,N,RI,CS,3/7/2012,N,3/28/2012,,,4/24/2012,," $ 2,000.00 ",,,,,
159,SPENCER'S EXPRESS,75464,4000 KINGSLAND ROAD,RICHMOND,VA,23237,UAB,1,Y,RI,AH,12/29/2010,Y,2/1/2011,3/8/2011,3/21/2011,10/19/2011,7,"$3,500 ",7,,,,
225,TRAVEL MART,9989,2311 WILLIS ROAD,RICHMOND,VA,23237,UAB,1,Y,RI,AH,4/19/2011,Y,5/31/2011,7/27/2011,8/19/2011,11/17/2011,30,"$2,000.00 ",7,,,,MART TRAINING WITHIN 6 MOS. FOR MR. JAMAL
615,7 ELEVEN STORE 2511 15406 H,2404,9700 JEFFERSON DAVIS HWY,RICHMOND,VA,23237,UAB,1,Y,RI,OC,3/14/2012,N,4/25/2012,,,6/1/2012,," $ 5,000.00 ",,,,,
323,UPPY'S XXXIX,39868,8208 W. BROAD STREET,RICHMOND,VA,23294,UAB,1,N,RI,OC,10/4/2011,N,11/3/2011,,,12/16/2011,," $ 4,500.00 ",3,,,,
429,MAXWELLS TAVERN,58783,"109 VOLVO PARKWAY, STE 1",CHESAPEAKE,VA,23320,UAB,1,Y,CH,IH,9/29/2011,N,10/31/2011,12/6/2011,12/15/2011,1/26/2012,,,,,,Y,
494,BULLIES GRILL,40122,228 BATTLEFIELD BLVD. N.,CHESAPEAKE,VA,23320,UAB,1,Y,CH,OC,8/24/2011,Y,10/17/2011,1/11/2012,2/15/2012,3/19/2012,," $ 3,500.00 ",,,,,
183,WAWA FOOD MARKET #695,42539,3408 WESTERN BRANCH BLVD.,CHESAPEAKE,VA,23321,UAB,1,N,CH,CS,9/28/2011,N,9/30/2011,,,10/27/2011,," $ 2,000.00 ",,,,,
478,7 ELEVEN STORE 2511-33718 A,54815,4701 TAYLOR ROAD,CHESAPEAKE,VA,23321,UAB,1,N,CH,CS,2/2/2012,N,2/7/2012,,,2/29/2012,," $ 2,000.00 ",,,,,
91,SIMPLY THAI CUISINE,57173,326 CARMICHAEL WAY,CHESAPEAKE,VA,23322,UAB,1,N,CH,CS,6/15/2011,N,7/21/2011,,,8/19/2011,25,,,,,,
200,FABBRIZI'S RISTORANTE,63008,"138 BATTLEFIELD BLVD, S",CHESAPEAKE,VA,23322,UAB,1,N,CH,IH,6/15/2011,N,7/20/2011,8/9/2011,9/29/2011,11/4/2011,25," $ 2,000.00 ",,,,,
446,PLANTATION CAFÉ,63121,1501 CAHOON PKY,CHESAPEAKE,VA,23322,UAB,1,N,CH,OC,10/8/2011,N,12/19/2011,,,2/3/2012,15,,,,,,
588,MILLER MART,68829,1229 CEDAR RD,CHESAPEAKE,VA,23322,UAB,1,N,CH,IH,10/8/2011,N,1/18/2012,2/9/2012,4/13/2012,5/16/2012,25," $ 2,000.00 ",,,,,
203,JOKERS BAR & GRILLE,7391,2917 SOUTH MILITARY HIGHWAY,CHESAPEAKE,VA,23323,UAB,1,Y,CH,AH,5/11/2011,N,5/27/2011,7/6/2011,7/19/2011,11/4/2011,10,"$2,000.00 ",,,,,RSVP TRAINING WITHIN 12 MOS. OF BD. ORDER & 12 MOS. OF FUTURE EMPLOYEES HIRED DATE.
403,FOOD LION 1591,9918,2544 BAINBRIDGE BLVD,CHESAPEAKE,VA,23324,UAB,1,Y,CH,OC,10/5/2011,N,11/1/2011,12/7/2011,12/15/2011,1/11/2012,," $ 7,000.00 ",5,,,,
361,COLONIAL DOWNS FOOD AND BEVERAGE,40075,4301 INDIAN RIVER ROAD,CHESAPEAKE,VA,23325,UAB,1,N,CH,CS,11/2/2011,N,11/29/2011,,,1/3/2012,,"$2,000 ",,,,,
292,THUNDERBIRD GRILL,78034,201 BATTERY PARK ROAD,SMITHFIELD,VA,23430,UAB,1,N,HA,CS,10/27/2011,N,11/9/2011,,,12/12/2011,," $ 2,000.00 ",,,,,
545,PARK AND SHOP #10,56706,1001 S CHURCH ST,SMITHFIELD,VA,23430,UAB,1,N,HA,IH,10/27/2011,N,12/9/2011,2/6/2012,3/8/2012,4/17/2012,25," $ 2,000.00 ",,,,,
262,FARM FRESH SUPERMARKET 188,78193,1401 N MAIN STREET,SUFFOLK,VA,23434,UAB,1,N,HA,CS,10/18/2011,N,10/27/2011,,,12/1/2011,," $ 2,000.00 ",,,,,
263,GAS N GO,51247,1504 HOLLAND ROAD,SUFFOLK,VA,23434,UAB,1,N,HA,CS,10/18/2011,N,10/27/2011,,,12/1/2011,," $ 2,000.00 ",,,,,
264,KELLYS TAVERN,29438,119 W CONSTANCE ROAD,SUFFOLK,VA,23434,UAB,1,N,HA,CS,10/18/2011,N,10/27/2011,,,12/1/2011,," $ 2,000.00 ",,,,,
265,7 ELEVEN STORE 2511-33662 A,59198,2317 HOLLAND ROAD,SUFFOLK,VA,23434,UAB,1,N,HA,CS,10/18/2011,N,10/27/2011,,,12/1/2011,," $ 2,000.00 ",,,,,
293,AMICIS RESTAURANT,51815,157 E WASHINGTON STREET,SUFFOLK,VA,23434,UAB,1,N,HA,CS,10/19/2011,N,10/27/2011,,,12/12/2011,," $ 2,000.00 ",,,,,
518,EXXON MART,49175,801 W. CONSTANCE RD,SUFFOLK,VA,23434,UAB,1,N,HA,OC,11/22/2011,N,2/19/2012,,,3/30/2012,," $ 1,500.00 ",,,,,
33,BENNETTS CREEK RESTAURANT & MARINA,66361,3305 FERRY RD,SUFFOLK,VA,23435,UAB,1,N,HA,IH,2/11/2011,N,3/10/2011,5/18/2011,6/14/2011,7/20/2011,10," $ 1,000.00 ",,,,,
229,NANSEMOND SERVICE CENTER,15078,5600 BENNETTS PASTURE ROAD,SUFFOLK,VA,23435,UAB,1,N,HA,CS,10/19/2011,N,10/27/2011,,,11/21/2011,," $ 2,000.00 ",,,,,
596,7 ELEVEN STORE 33179-B,79378,6496 HAMPTON ROADS PKWY.,SUFFOLK,VA,23435,UAB,1,N,HA,CS,4/21/2012,N,5/1/2012,,,5/24/2012,," $ 2,000.00 ",,,,,
1,THE FRESH MARKET,9437,855 HILLTOP NORTH SHOPPING CTR.,VIRGINIA BEACH,VA,23451,UAB,1,N,CH,CS,5/18/2011,N,6/17/2011,,,7/1/2011,," $ 2,000.00 ",,,,,
154,SUNSATIONS INC,56715,2500 ATLANTIC AVE,VIRGINIA BEACH,VA,23451,UAB,1,Y,CH,IH,6/15/2011,N,6/20/2011,8/8/2011,9/6/2011,10/13/2011,30," $ 3,000.00 ",10,,,,
239,LA PIZZERIA,70912,2973 SHORE DRIVE,VIRGINIA BEACH,VA,23451,UAB,1,Y,CH,CS,10/26/2011,N,11/16/2011,,,11/21/2011,25,,,,,,
44,FOOD LION 211,9640,3770 VIRGINIA BEACH BOULEVARD,VIRGINIA BEACH,VA,23452,UAB,1,Y,CH,CS,6/22/2011,N,7/1/2011,,,7/28/2011,," $ 2,000.00 ",,,,,
60,QWIK SAVE,54121,"3497 HOLLAND ROAD, STE. 107",VIRGINIA BEACH,VA,23452,UAB,1,N,CH,AH,8/27/2010,Y,10/7/2010,1/18/2011,2/8/2011,7/28/2011,20,,,,,,SUSPENSION LIFTED IF NO ABC VIOLATIOINS WITHIN 12 MOS. & MR WANIS ATTEND MART TRAINING WITHIN 12 MOS OF BD. ORDER
92,BOW CREEK GOLF COURSE,67848,3425 CLUB HOUSE ROAD,VIRGINIA BEACH,VA,23452,UAB,1,N,CH,CS,6/29/2011,N,7/20/2011,,,8/19/2011,," $ 2,000.00 ",,,,,
101,7 ELEVEN STORE 2514-19533 H,27283,3564 HOLLAND ROAD,VIRGINIA BEACH,VA,23452,UAB,1,Y,CH,OC,6/29/2011,Y,7/7/2011,,,9/7/2011,," $ 5,000.00 ",,,,,
353,WAWA FOOD MARKET #678,23216,2501 VIRGINIA BEACH BLVD.,VIRGINIA BEACH,VA,23452,UAB,1,N,CH,CS,11/16/2011,N,11/30/2011,,,1/3/2012,," $ 2,000.00 ",,,,,
408,7 ELEVEN STORE 2514 20040 H,24409,3185 HOLLAND ROAD,VIRGINIA BEACH,VA,23453,UAB,1,Y,CH,OC,10/26/2011,Y,11/1/2011,,,1/11/2012,," $ 5,000.00 ",,,,,
102,KANGAROO EXPRESS 3108,3134,1912 LASKIN ROAD,VIRGINIA BEACH,VA,23454,UAB,1,Y,CH,OC,6/22/2011,Y,7/7/2011,,,9/7/2011,," $ 5,000.00 ",,,,,COMMITMENT THAT MGR WILL ATTEND MART TRAINING
317,AMERICAN ASIAN FOOD MARKET,32548,"315 N GREAT NECK RD, STE 200",VIRGINIA BEACH,VA,23454,UAB,1,N,CH,IH,6/22/2011,N,8/8/2011,9/19/2011,11/4/2011,12/15/2011,30," $ 3,000.00 ",10,,,,
537,SAMMYS RESTAURANT & LOUNGE,16751,1781 VIRGINIA BEACH BLVD.,VIRGINIA BEACH,VA,23454,UAB,1,N,CH,CS,3/14/2012,N,3/20/2012,,,4/10/2012,," $ 2,000.00 ",,,,,
272,GREAT NECK SHELL 3450,34157,1280 N GREAT NECK ROAD,VIRGINIA BEACH,VA,23454,UAB,1,N,CH,CS,10/26/2011,N,11/16/2011,,,12/6/2011,," $ 2,000.00 ",,,,,
155,CHURCH POINT MANOR THE CELLARS RESTAURANT,51172,4001 CHURCH POINT RD,VIRGINIA BEACH,VA,23455,UAB,1,N,CH,IH,5/17/2011,N,6/23/2011,8/10/2011,9/9/2011,10/13/2011,5," $ 1,000.00 ",,,,,
357,ABERDEEN BARNS OF VIRGINIA,9802,5805 NORTHAMPTON BLVD.,VIRGINIA BEACH,VA,23455,UAB,1,Y,CH,CS,11/9/2011,N,11/23/2011,,,1/3/2012,," $ 2,000.00 ",,,,,
424,MANNINOS ITALIAN BISTRO,61325,"1608 PLEASURE HOUSE RD., STE 103",VIRGINIA BEACH,VA,23455,UAB,1,N,CH,OC,11/9/2011,N,11/23/2011,,,1/24/2012,," $ 1,500.00 ",,,,,
662,THE BRASS BELL,24081,1628 INDEPENDENCE BLVD,VIRGINIA BEACH,VA,23455,UAB; ALLOWED CONSUMPTION BY UNDERAGE PERSON,2,N,CH,IH,1/12/2012,N,1/20/2012,3/20/2012,5/23/2012,6/26/2012,5," $ 1,000.00 ",,,,,
374,SENECA CAMPGROUND,30847,161 PRINCESS ANNE ROAD,VIRGINIA BEACH,VA,23457,UAB,1,Y,CH,CS,9/27/2011,N,12/9/2011,,,1/9/2012,25,,,,,,
67,MINI ITALIA NEW YORK PIZZERIA,59425,665 NEWTOWN ROAD,VIRGINIA BEACH,VA,23462,UAB,1,N,CH,OC,5/17/2011,N,6/27/2011,,,8/2/2011,," $ 1,500.00 ",,,,,
299,RITE AID #4872,1521,5795 PRINCESS ANNE ROAD,VIRGINIA BEACH,VA,23462,UAB,1,N,CH,CS,11/1/2011,N,11/16/2011,,,12/15/2011,," $ 2,000.00 ",,,,,
369,THE GRACES CANTONESE RESTAURANT,65901,328 CONSTITUTION DRIVE,VIRGINIA BEACH,VA,23462,UAB,1,N,CH,CS,11/16/2011,N,11/30/2011,,,1/3/2012,," $ 2,000.00 ",,,,,
441,SAKURA JAPANESE RESTAURANT,54890,424 NEWTOWN ROAD,VIRGINIA BEACH,VA,23462,UAB,1,N,CH,CS,10/31/2011,N,11/23/111,,,1/30/2012,25,,,,,,
476,ZUSHI,39634,4540 MAIN STREET,VIRGINIA BEACH,VA,23462,UAB,1,Y,CH,OC,11/16/2011,N,11/30/2011,1/10/2012,1/31/2012,2/29/2012,," $ 4,000.00 ",2,,,,
546,RACEWAY/GRAND TRAK,44126,5549 VIRGINIA BEACH BLVD,VIRGINIA BEACH,VA,23462,UAB,1,N,CH,IH,10/31/2011,N,12/19/2011,1/31/2012,3/7/2012,4/17/2012,25," $ 2,000.00 ",,,,,
644,ARROWHEAD FOOD MART,36051,5636 PRINCESS ANNE ROAD,VIRGINIA BEACH,VA,23462,UAB,1,Y,CH,CS,4/27/2012,N,5/14/2012,,,6/18/2012,," $ 2,000.00 ",,,,,
308,FOOD LION 1333,9846,1920 CENTERVILLE TURNPIKE ,VIRGINIA BEACH,VA,23464,UAB,1,N,CH,CS,11/1/2011,N,11/16/2011,,,12/15/2011,," $ 2,000.00 ",,,,,
346,SKYMART #102,42620,6016 INDIAN RIVER ROAD,VIRGINIA BEACH,VA,23464,UAB,1,N,CH,CS,11/1/2011,N,11/16/2011,,,1/3/2012,25,,,,,,
663,FRANKIES PLACE FOR RIBS,72616,5200 FAIRFIELD SHOPPING CENTER,VIRGINIA BEACH,VA,23464,UAB,1,N,CH,IH,11/1/2011,Y,12/19/2011,3/20/2012,5/23/2012,6/26/2012,5," $ 1,000.00 ",,,,,
350,7 ELEVEN STORE 2511-11476 H,5957,5359 E PRINCESS ANNE ROAD,NORFOLK,VA,23502,UAB,1,Y,CH,CS,10/26/2011,N,11/14/2011,,,1/3/2012,," $ 2,000.00 ",,,,,
100,SPARTAN MARKET,36453,"3020 E PRINCESS ANNE RD., STE 3026",NORFOLK,VA,23504,UAB,1,Y,CH,OC,5/2/2011,N,5/13/2011,7/6/2011,7/21/2011,9/7/2011,," $ 4,000.00 ",,,,,
303,TASTE OF EUROPE,67738,7522 GRANBY STREET,NORFOLK,VA,23505,UAB,1,N,CH,CS,10/26/2011,N,11/15/2011,,,12/15/2011,25,,,,,,
370,UNIVERSAL MART,42513,1033 W LITTLE CREEK ROAD,NORFOLK,VA,23505,UAB,1,N,CH,CS,10/26/2011,N,11/28/2011,,,1/3/2012,," $ 2,000.00 ",,,,,
160,LAMBERTS POINT GOLF CLUB,39103,4301 POWHATAN AVE,NORFOLK,VA,23508,UAB,1,N,CH,IH,6/22/2011,N,7/20/2011,8/9/2011,9/14/2011,10/19/2011,25," $ 2,000.00 ",,,,,
455,TINEE GIANT,55183,2863 EARLY STREET,NORFOLK,VA,23513,UAB,1,Y,CH,IH,4/27/2011,Y,6/10/2011,9/10/2011,11/7/2011,2/13/2012,25," $ 3,000.00 ",10,,,,
73,COLLEY CANTINA,37690,1314 COLLEY AVE,NORFOLK,VA,23517,UAB,1,N,CH,IH,3/11/2011,N,4/20/2011,6/17/2011,6/29/2011,8/2/2011,15," $ 1,250.00 ",,,,,
438,FRANCOS ITALIAN RESTAURANT,8652,"6200 NORTH MILITARY HWY., STE A",NORFOLK,VA,23518,UAB,1,N,CH,AH,6/24/2011,N,8/19/2011,9/20/2011,11/10/2011,1/30/2012,,,,,,,WRITTEN WARNING
315,LITTLE CREEK MARINA,38864,4801 PRETTY LAKE AVE,NORFOLK,VA,23518,UAB,1,N,CH,IH,6/21/2011,N,8/19/2011,9/20/2011,11/10/2011,12/15/2011,25," $ 2,000.00 ",,,,,
