Name,Description
"Furnace Creek, WP","<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Furnace Creek, WP</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
Fox Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Fox Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
"Greasy Creek, NF","<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Greasy Creek, NF</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
Greens Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Greens Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
Grassy Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Grassy Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
Greasy Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Greasy Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
Guffey Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Guffey Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
Hunting Camp Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Hunting Camp Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
Hemlock Branch,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Hemlock Branch</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
Hanks Branch,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Hanks Branch</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
"Helton Creek, MF","<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Helton Creek, MF</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
"Helton Creek, MF","<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Helton Creek, MF</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
Helton Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Helton Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
Hunters Branch,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Hunters Branch</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
Howell Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Howell Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
Jerry Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Jerry Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
Jones Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Jones Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
Killinger Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Killinger Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
Kinser Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Kinser Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
Laurel Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Laurel Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
Little Cranberry Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Little Cranberry Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
Laurel Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Laurel Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
"Little Reed Island Ck., EF","<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Little Reed Island Ck., EF</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
Laurel Fork tributary,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Laurel Fork tributary</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
Little Helton Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Little Helton Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
Laurel Branch,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Laurel Branch</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
Laurel Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Laurel Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
Long Mountain Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Long Mountain Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
Little Macks Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Little Macks Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
Laurel Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Laurel Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
"Little Reed Island Creek, WF","<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Little Reed Island Creek, WF</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
Little Stony Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Little Stony Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
Little Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Little Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
Little Snake Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Little Snake Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
Little Wilson Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Little Wilson Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
Lewis Fork,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Lewis Fork</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
Mill Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Mill Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
Meredith Branch,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Meredith Branch</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
Mudley Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Name</td> <td>Mudley Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Stream Type</td> <td></td> </tr> </table> </body> </html>"
