fips,ctystate,st_abbr,year,landsqmi,airport,bus,care,communication,dams,electric,emergency,fire,hazmat,hwybridge,oil,police,port,potable,railfacil,railbridge,school,wastewater
26115,"Monroe, MI",MI,2011,549.4,6,1,1,5,5,4,NULL,21,67,123,NULL,9,5,1,2,2,74,16
26121,"Muskegon, MI",MI,2011,499.2,1,2,2,14,6,1,NULL,15,172,121,1,11,17,2,NULL,4,95,6
26127,"Oceana, MI",MI,2011,512.1,2,NULL,1,2,9,1,1,7,7,67,NULL,3,NULL,NULL,NULL,NULL,23,3
26131,"Ontonagon, MI",MI,2011,1311.2,1,NULL,1,2,15,NULL,NULL,5,11,36,NULL,1,NULL,1,NULL,NULL,7,7
26139,"Ottawa, MI",MI,2011,563.5,4,2,3,13,8,7,2,21,138,77,NULL,9,12,1,2,NULL,111,12
26141,"Presque Isle, MI",MI,2011,658.7,2,NULL,1,3,6,NULL,1,5,NULL,9,NULL,3,NULL,NULL,NULL,NULL,15,1
26147,"St. Clair, MI",MI,2011,721.2,7,1,3,8,3,6,NULL,19,77,90,1,10,NULL,6,2,NULL,78,11
26151,"Sanilac, MI",MI,2011,962.6,6,1,3,5,2,NULL,1,16,14,29,NULL,8,NULL,1,2,NULL,30,12
26153,"Schoolcraft, MI",MI,2011,1171.4,1,NULL,1,2,9,NULL,NULL,11,1,49,NULL,1,2,NULL,NULL,NULL,8,1
26157,"Tuscola, MI",MI,2011,803.1,1,NULL,3,7,3,NULL,NULL,13,17,26,NULL,7,NULL,NULL,1,NULL,40,12
26159,"Van Buren, MI",MI,2011,607.5,2,1,2,3,7,1,NULL,14,30,46,NULL,13,NULL,NULL,1,NULL,52,9
26163,"Wayne, MI",MI,2011,612.1,5,10,22,23,12,18,4,51,844,647,3,119,75,2,31,57,876,26
27031,"Cook, MN",MN,2011,1452.3,1,1,1,2,1,2,NULL,7,NULL,31,NULL,1,1,NULL,NULL,3,7,1
27075,"Lake, MN",MN,2011,2109.3,2,NULL,1,NULL,17,2,NULL,3,6,45,NULL,3,3,NULL,NULL,5,5,4
27137,"St. Louis, MN",MN,2011,6247.4,8,6,9,40,84,9,3,64,35,609,NULL,36,31,5,3,39,117,25
28045,"Hancock, MS",MS,2011,473.7,2,1,1,1,22,NULL,1,7,17,72,NULL,4,9,NULL,1,NULL,16,1
28047,"Harrison, MS",MS,2011,574,2,1,11,9,33,1,2,8,46,256,NULL,14,30,NULL,2,NULL,72,10
28059,"Jackson, MS",MS,2011,722.8,2,NULL,2,7,6,2,NULL,16,142,216,1,7,67,3,1,NULL,62,5
33015,"Rockingham, NH",NH,2011,694.7,1,NULL,5,9,60,8,7,39,62,331,1,39,19,NULL,1,10,175,8
33017,"Strafford, NH",NH,2011,369,1,1,2,7,48,2,NULL,13,24,160,NULL,15,NULL,NULL,2,6,57,8
34001,"Atlantic, NJ",NJ,2011,555.7,3,4,3,18,28,3,8,35,1,190,NULL,25,NULL,NULL,5,5,102,5
34003,"Bergen, NJ",NJ,2011,233,1,7,7,15,20,1,14,103,185,510,7,73,10,4,3,12,437,10
34005,"Burlington, NJ",NJ,2011,798.6,4,5,4,3,60,1,4,61,87,333,2,37,6,5,3,5,192,21
34007,"Camden, NJ",NJ,2011,221.3,1,6,8,9,25,1,5,59,74,225,5,32,30,NULL,7,14,247,5
34009,"Cape May, NJ",NJ,2011,251.4,3,NULL,2,17,9,1,12,25,8,65,NULL,21,NULL,2,NULL,NULL,40,3
34011,"Cumberland, NJ",NJ,2011,483.7,2,1,1,8,27,7,5,22,20,92,1,8,NULL,NULL,7,1,70,2
34013,"Essex, NJ",NJ,2011,126.2,2,10,14,5,9,5,9,22,220,470,4,49,44,1,5,17,372,7
34015,"Gloucester, NJ",NJ,2011,322,1,2,2,3,37,6,2,45,255,221,10,24,20,4,NULL,1,120,5
34017,"Hudson, NJ",NJ,2011,46.2,NULL,12,9,3,3,4,12,12,99,163,4,28,65,NULL,9,22,195,11
34023,"Middlesex, NJ",NJ,2011,308.9,1,6,7,3,16,7,7,60,454,499,8,33,41,NULL,9,32,293,2
34025,"Monmouth, NJ",NJ,2011,468.8,1,6,4,12,42,NULL,10,83,21,453,3,51,8,3,NULL,8,311,18
34029,"Ocean, NJ",NJ,2011,628.8,3,1,5,9,38,4,12,57,35,211,NULL,41,NULL,2,NULL,NULL,173,3
34033,"Salem, NJ",NJ,2011,331.9,1,2,1,1,29,4,7,18,118,106,1,10,5,3,NULL,NULL,35,7
34035,"Somerset, NJ",NJ,2011,301.8,3,5,3,4,12,1,6,43,129,372,1,22,NULL,2,3,7,146,17
34039,"Union, NJ",NJ,2011,102.9,1,6,9,3,12,4,8,25,233,388,5,28,25,NULL,9,38,238,8
36005,"Bronx, NY",NY,2011,42.1,NULL,9,13,4,2,1,NULL,2,26,301,NULL,24,29,NULL,NULL,7,436,2
36011,"Cayuga, NY",NY,2011,691.6,1,1,1,4,14,NULL,NULL,26,15,124,NULL,6,NULL,NULL,NULL,NULL,37,8
36013,"Chautauqua, NY",NY,2011,1060.2,2,NULL,4,11,28,3,1,41,59,507,NULL,13,1,NULL,2,21,71,15
36027,"Dutchess, NY",NY,2011,795.6,4,1,5,10,74,1,NULL,39,31,312,NULL,13,5,NULL,2,4,123,20
36029,"Erie, NY",NY,2011,1042.7,3,24,16,31,24,3,6,99,262,794,7,56,28,NULL,19,111,345,32
36045,"Jefferson, NY",NY,2011,1268.6,1,2,3,14,36,1,NULL,34,35,258,NULL,13,NULL,NULL,NULL,5,49,20
36047,"Kings, NY",NY,2011,70.8,NULL,23,19,2,NULL,4,NULL,2,68,238,1,47,92,NULL,3,9,834,4
36055,"Monroe, NY",NY,2011,657.2,2,3,7,32,20,3,NULL,47,188,573,NULL,39,3,1,2,55,264,9
36059,"Nassau, NY",NY,2011,284.7,NULL,11,13,11,6,9,3,88,88,307,NULL,34,35,4,NULL,91,456,13
36061,"New York, NY",NY,2011,22.8,NULL,21,21,35,1,6,NULL,NULL,3,247,1,31,54,NULL,1,3,462,2
36063,"Niagara, NY",NY,2011,522.4,2,7,5,3,8,5,1,34,168,269,1,12,NULL,1,1,17,81,12
36071,"Orange, NY",NY,2011,811.7,3,12,9,10,102,4,1,47,86,416,NULL,41,12,2,NULL,15,134,32
36073,"Orleans, NY",NY,2011,391.3,1,1,1,1,13,NULL,NULL,10,8,120,NULL,5,NULL,1,NULL,1,18,4
36075,"Oswego, NY",NY,2011,951.6,1,2,2,11,40,5,NULL,26,22,186,NULL,9,6,1,NULL,3,48,16
36079,"Putnam, NY",NY,2011,230.3,NULL,NULL,2,2,62,NULL,NULL,13,1,101,NULL,4,1,1,NULL,4,31,11
36081,"Queens, NY",NY,2011,108.5,2,20,15,2,1,9,NULL,3,59,462,NULL,42,47,NULL,1,105,510,3
36085,"Richmond, NY",NY,2011,58.4,NULL,7,4,1,2,1,NULL,2,5,147,NULL,10,60,NULL,NULL,10,118,2
36087,"Rockland, NY",NY,2011,173.6,NULL,6,6,3,42,3,NULL,34,39,218,NULL,16,9,2,NULL,6,131,6
36103,"Suffolk, NY",NY,2011,912.1,8,16,16,35,16,13,5,110,81,354,NULL,37,27,8,1,47,445,32
36111,"Ulster, NY",NY,2011,1124.2,2,11,3,22,54,NULL,NULL,36,18,362,NULL,23,15,1,NULL,3,68,23
36117,"Wayne, NY",NY,2011,603.8,1,2,2,3,7,1,NULL,26,27,83,NULL,11,NULL,NULL,NULL,1,46,14
36119,"Westchester, NY",NY,2011,430.5,1,14,21,12,87,1,6,88,50,713,NULL,53,31,2,3,36,374,13
37013,"Beaufort, NC",NC,2011,827.2,1,2,2,4,7,2,NULL,11,12,134,NULL,4,NULL,5,NULL,NULL,19,NULL
37015,"Bertie, NC",NC,2011,699.3,NULL,NULL,1,4,1,NULL,NULL,8,21,69,NULL,4,NULL,NULL,NULL,NULL,12,NULL
37019,"Brunswick, NC",NC,2011,847,1,NULL,2,24,5,2,NULL,19,45,104,NULL,17,6,3,NULL,NULL,24,NULL
37029,"Camden, NC",NC,2011,240.6,NULL,1,NULL,NULL,NULL,NULL,NULL,1,NULL,22,NULL,1,NULL,1,NULL,NULL,3,NULL
37031,"Carteret, NC",NC,2011,506.3,2,1,1,8,1,1,NULL,16,2,49,NULL,9,21,6,NULL,NULL,24,NULL
37041,"Chowan, NC",NC,2011,172.5,1,1,1,2,NULL,1,NULL,2,3,37,NULL,2,NULL,3,NULL,NULL,6,NULL
37049,"Craven, NC",NC,2011,709,2,NULL,2,7,1,2,1,15,34,93,NULL,7,NULL,4,NULL,NULL,29,NULL
37053,"Currituck, NC",NC,2011,261.9,1,NULL,NULL,3,NULL,NULL,NULL,4,NULL,11,NULL,2,NULL,2,NULL,NULL,8,NULL
37055,"Dare, NC",NC,2011,383.4,2,NULL,NULL,7,NULL,4,NULL,11,NULL,25,NULL,13,NULL,2,NULL,NULL,13,NULL
37073,"Gates, NC",NC,2011,340.4,NULL,NULL,NULL,NULL,1,NULL,NULL,5,NULL,29,NULL,1,NULL,NULL,NULL,NULL,5,NULL
37091,"Hertford, NC",NC,2011,353.1,1,2,1,2,10,NULL,NULL,9,10,34,NULL,5,NULL,NULL,NULL,NULL,10,NULL
37095,"Hyde, NC",NC,2011,612.7,1,1,NULL,3,NULL,2,NULL,5,NULL,53,NULL,2,NULL,2,NULL,NULL,4,NULL
37103,"Jones, NC",NC,2011,470.7,NULL,NULL,NULL,4,1,NULL,NULL,7,NULL,53,NULL,4,NULL,NULL,NULL,NULL,6,NULL
37129,"New Hanover, NC",NC,2011,191.5,1,2,3,3,1,1,NULL,15,81,40,1,6,36,1,1,NULL,52,NULL
37133,"Onslow, NC",NC,2011,762.7,2,3,3,9,1,NULL,NULL,18,3,72,NULL,6,NULL,2,1,NULL,50,NULL
37137,"Pamlico, NC",NC,2011,336.5,NULL,NULL,NULL,3,NULL,NULL,NULL,6,NULL,36,NULL,2,NULL,1,NULL,NULL,5,NULL
37139,"Pasquotank, NC",NC,2011,226.9,1,1,1,4,NULL,NULL,NULL,3,3,26,NULL,2,NULL,2,NULL,NULL,15,NULL
37141,"Pender, NC",NC,2011,869.8,1,NULL,1,2,4,NULL,NULL,10,1,60,NULL,4,NULL,2,NULL,NULL,15,NULL
37143,"Perquimans, NC",NC,2011,247.1,1,NULL,NULL,1,NULL,NULL,NULL,4,NULL,26,NULL,2,NULL,3,NULL,NULL,5,NULL
37147,"Pitt, NC",NC,2011,652,1,2,2,11,6,NULL,NULL,18,33,136,NULL,13,NULL,2,NULL,2,45,NULL
37177,"Tyrrell, NC",NC,2011,389,NULL,NULL,NULL,4,NULL,NULL,NULL,5,1,18,NULL,2,NULL,1,NULL,NULL,3,NULL
37187,"Washington, NC",NC,2011,348.1,1,NULL,NULL,2,NULL,1,NULL,4,25,25,NULL,3,NULL,3,NULL,NULL,5,NULL
39007,"Ashtabula, OH",OH,2011,701.9,2,2,4,5,34,3,1,22,78,290,NULL,9,19,2,NULL,6,47,21
39035,"Cuyahoga, OH",OH,2011,457.2,3,3,24,34,20,2,1,62,691,625,NULL,92,48,1,27,56,540,42
39043,"Erie, OH",OH,2011,251.6,4,2,2,7,4,NULL,NULL,12,52,150,NULL,8,14,NULL,1,4,35,33
39085,"Lake, OH",OH,2011,227.5,2,1,2,3,9,4,NULL,18,191,142,NULL,16,10,2,3,11,81,29
39093,"Lorain, OH",OH,2011,491.1,5,3,4,7,28,3,NULL,21,254,354,1,19,9,2,4,7,130,28
39095,"Lucas, OH",OH,2011,340.9,1,1,8,19,5,3,NULL,16,252,308,5,23,35,2,17,28,201,10
39123,"Ottawa, OH",OH,2011,254.9,4,1,1,2,NULL,1,NULL,10,12,69,NULL,13,NULL,NULL,NULL,1,24,15
39143,"Sandusky, OH",OH,2011,408.5,2,NULL,3,3,2,NULL,NULL,9,53,335,NULL,7,NULL,NULL,1,NULL,33,11
41007,"Clatsop, OR",OR,2011,829,1,1,2,7,6,NULL,NULL,11,27,40,NULL,7,34,2,NULL,NULL,21,9
41011,"Coos, OR",OR,2011,1596.2,2,2,3,16,14,1,NULL,14,9,46,NULL,8,44,3,NULL,NULL,33,7
41015,"Curry, OR",OR,2011,1627.5,NULL,NULL,1,3,4,1,1,10,2,46,NULL,5,NULL,4,NULL,NULL,12,1
41019,"Douglas, OR",OR,2011,5036.1,1,1,3,17,55,9,1,24,7,135,NULL,10,8,15,NULL,NULL,61,17
41039,"Lane, OR",OR,2011,4553.1,4,3,4,37,35,1,2,50,91,199,1,11,5,7,6,NULL,157,13
41041,"Lincoln, OR",OR,2011,979.8,2,NULL,2,12,6,NULL,NULL,7,9,31,NULL,5,20,1,NULL,NULL,23,8
41057,"Tillamook, OR",OR,2011,1102.6,1,1,1,2,1,NULL,NULL,13,4,69,NULL,6,NULL,NULL,NULL,NULL,15,12
42045,"Delaware, PA",PA,2011,183.8,1,1,6,10,8,2,2,64,126,343,3,35,29,1,4,NULL,220,32
42049,"Erie, PA",PA,2011,799.2,2,7,10,24,10,2,2,31,157,375,1,12,9,1,2,NULL,120,35
42101,"Philadelphia, PA",PA,2011,134.1,1,14,36,35,3,7,NULL,3,222,545,5,28,72,NULL,19,NULL,569,4
44001,"Bristol, RI",RI,2011,24.2,NULL,NULL,NULL,1,2,NULL,NULL,3,10,8,NULL,4,NULL,NULL,NULL,NULL,23,1
44003,"Kent, RI",RI,2011,168.5,1,1,1,3,28,NULL,3,12,61,101,NULL,7,NULL,1,NULL,7,88,2
44005,"Newport, RI",RI,2011,102.4,1,3,1,4,11,1,1,10,3,41,NULL,7,1,1,NULL,NULL,42,3
44007,"Providence, RI",RI,2011,409.5,1,9,12,20,100,11,12,36,229,450,NULL,34,16,3,1,7,312,10
44009,"Washington, RI",RI,2011,329.2,4,NULL,2,11,40,2,1,17,27,120,NULL,11,5,NULL,2,2,56,5
45013,"Beaufort, SC",SC,2011,576.3,3,1,3,6,16,14,1,12,435,60,NULL,1,NULL,70,NULL,NULL,47,145
45015,"Berkeley, SC",SC,2011,1098.9,1,1,NULL,3,28,8,1,23,523,183,NULL,3,10,34,NULL,1,50,129
45019,"Charleston, SC",SC,2011,916.1,3,1,12,24,5,35,1,21,1684,332,8,12,57,44,10,NULL,124,344
45029,"Colleton, SC",SC,2011,1056.5,1,1,1,1,12,6,1,25,177,249,NULL,1,NULL,38,NULL,NULL,18,15
45035,"Dorchester, SC",SC,2011,573.2,2,NULL,2,2,8,1,1,14,375,212,NULL,4,NULL,42,1,NULL,33,121
45043,"Georgetown, SC",SC,2011,813.5,2,1,1,1,11,1,1,4,320,97,NULL,3,19,54,NULL,NULL,24,116
45049,"Hampton, SC",SC,2011,559.9,NULL,NULL,1,1,20,7,1,5,121,110,NULL,NULL,NULL,35,2,NULL,11,24
45051,"Horry, SC",SC,2011,1133.9,4,2,3,10,28,2,1,8,714,334,NULL,5,NULL,117,NULL,NULL,58,348
45053,"Jasper, SC",SC,2011,655.3,NULL,NULL,2,NULL,13,3,1,4,119,151,NULL,1,2,22,NULL,2,8,14
48007,"Aransas, TX",TX,2011,252.1,1,1,NULL,NULL,2,NULL,NULL,3,NULL,7,NULL,3,32,NULL,NULL,NULL,8,1
48039,"Brazoria, TX",TX,2011,1357.7,2,NULL,3,9,54,1,1,22,331,435,6,19,68,NULL,NULL,3,99,30
48057,"Calhoun, TX",TX,2011,506.8,1,1,1,1,25,1,NULL,9,107,90,NULL,4,42,NULL,NULL,NULL,12,3
48061,"Cameron, TX",TX,2011,890.9,3,7,6,22,36,2,1,9,34,281,1,18,69,NULL,3,NULL,156,14
48071,"Chambers, TX",TX,2011,597.1,2,NULL,1,NULL,13,1,NULL,8,68,103,5,3,6,NULL,NULL,1,12,9
48167,"Galveston, TX",TX,2011,378.4,1,3,4,7,1,2,3,14,231,191,9,17,95,NULL,1,NULL,111,17
48201,"Harris, TX",TX,2011,1703.5,9,25,68,20,37,16,7,51,2123,2497,20,96,314,2,30,40,1324,347
48239,"Jackson, TX",TX,2011,829.4,1,NULL,1,4,9,NULL,NULL,4,1,149,NULL,4,NULL,NULL,NULL,NULL,9,6
48245,"Jefferson, TX",TX,2011,876.3,2,1,11,6,2,1,NULL,9,668,294,20,14,154,5,4,5,99,12
48261,"Kenedy, TX",TX,2011,1458.3,NULL,NULL,NULL,2,1,NULL,NULL,NULL,NULL,16,NULL,1,NULL,NULL,NULL,NULL,1,NULL
48273,"Kleberg, TX",TX,2011,881.3,2,2,1,2,8,NULL,NULL,3,2,38,NULL,2,NULL,NULL,NULL,NULL,24,3
48321,"Matagorda, TX",TX,2011,1100.3,2,1,2,6,6,1,NULL,7,23,171,NULL,4,24,NULL,NULL,NULL,25,7
48355,"Nueces, TX",TX,2011,838.5,4,3,11,35,5,8,1,8,219,358,15,8,84,NULL,5,1,145,16
48361,"Orange, TX",TX,2011,333.7,1,1,1,17,2,1,NULL,10,125,139,NULL,14,38,NULL,NULL,NULL,30,17
48391,"Refugio, TX",TX,2011,770.4,NULL,NULL,1,NULL,4,NULL,NULL,3,NULL,114,NULL,4,NULL,NULL,NULL,1,7,4
48409,"San Patricio, TX",TX,2011,693.5,2,1,1,9,10,1,1,8,39,170,8,7,34,NULL,NULL,2,37,11
48469,"Victoria, TX",TX,2011,882.1,1,2,5,16,4,2,NULL,9,43,240,NULL,3,7,NULL,NULL,2,39,6
48489,"Willacy, TX",TX,2011,590.6,NULL,NULL,NULL,3,4,NULL,1,2,NULL,88,NULL,4,3,NULL,NULL,NULL,12,3
51001,"Accomack, VA",VA,2011,449.5,3,4,NULL,5,9,3,NULL,13,10,23,NULL,3,NULL,2,NULL,NULL,14,2
51013,"Arlington, VA",VA,2011,26,1,1,3,4,NULL,NULL,NULL,3,NULL,85,NULL,1,NULL,NULL,NULL,NULL,43,1
51033,"Caroline, VA",VA,2011,527.5,NULL,1,NULL,1,34,NULL,NULL,7,1,66,NULL,5,NULL,NULL,NULL,NULL,8,6
51036,"Charles City, VA",VA,2011,182.8,NULL,NULL,NULL,1,2,NULL,NULL,1,4,12,NULL,1,5,1,NULL,NULL,3,NULL
51041,"Chesterfield, VA",VA,2011,423.3,1,NULL,2,12,40,2,1,2,83,161,2,7,7,1,1,1,73,2
51057,"Essex, VA",VA,2011,257.1,NULL,1,1,NULL,23,NULL,NULL,1,3,26,NULL,2,NULL,1,NULL,NULL,7,1
51059,"Fairfax, VA",VA,2011,391,1,6,8,8,31,1,NULL,39,27,371,1,11,NULL,3,3,3,325,8
51073,"Gloucester, VA",VA,2011,217.8,NULL,1,1,2,7,NULL,NULL,1,NULL,13,NULL,4,16,NULL,NULL,NULL,13,1
51085,"Hanover, VA",VA,2011,468.5,1,NULL,3,2,46,1,NULL,3,12,130,NULL,3,NULL,4,1,4,25,5
51087,"Henrico, VA",VA,2011,233.7,1,NULL,5,12,16,4,1,3,46,132,1,1,4,NULL,2,1,91,1
51093,"Isle of Wight, VA",VA,2011,315.6,2,1,NULL,5,14,NULL,NULL,13,13,64,NULL,3,2,2,NULL,2,11,1
51095,"James City, VA",VA,2011,142.4,1,NULL,1,1,20,2,NULL,1,9,32,NULL,2,2,NULL,NULL,1,13,1
51097,"King and Queen, VA",VA,2011,315.1,1,NULL,NULL,NULL,19,NULL,NULL,2,NULL,21,NULL,2,NULL,NULL,NULL,NULL,3,NULL
51099,"King George, VA",VA,2011,179.6,1,NULL,NULL,1,8,1,NULL,1,7,18,NULL,1,NULL,NULL,NULL,NULL,6,6
51101,"King William, VA",VA,2011,273.9,NULL,NULL,NULL,1,24,NULL,NULL,2,21,22,1,2,5,NULL,NULL,NULL,8,1
51103,"Lancaster, VA",VA,2011,133.2,NULL,1,1,2,8,NULL,NULL,1,NULL,5,1,2,NULL,NULL,NULL,NULL,4,NULL
51115,"Mathews, VA",VA,2011,85.9,NULL,NULL,NULL,1,NULL,NULL,NULL,1,NULL,4,NULL,1,NULL,1,NULL,NULL,3,1
51119,"Middlesex, VA",VA,2011,130.3,1,NULL,NULL,NULL,13,NULL,NULL,3,3,6,NULL,NULL,NULL,1,NULL,NULL,4,1
51127,"New Kent, VA",VA,2011,209.7,1,NULL,1,1,13,NULL,NULL,2,NULL,41,NULL,1,1,NULL,NULL,NULL,5,3
51131,"Northampton, VA",VA,2011,211.6,NULL,2,1,3,9,1,1,5,NULL,5,NULL,3,NULL,NULL,NULL,NULL,8,1
51133,"Northumberland, VA",VA,2011,191.3,NULL,NULL,NULL,NULL,7,NULL,NULL,3,2,14,NULL,1,NULL,NULL,NULL,1,4,2
51149,"Prince George, VA",VA,2011,265.2,NULL,NULL,NULL,NULL,19,NULL,NULL,5,14,71,NULL,1,4,NULL,2,NULL,12,2
51153,"Prince William, VA",VA,2011,336.4,NULL,NULL,1,3,14,1,NULL,9,12,127,NULL,9,NULL,2,2,NULL,115,7
51159,"Richmond, VA",VA,2011,191.5,NULL,1,NULL,4,7,1,1,NULL,4,12,NULL,2,NULL,NULL,NULL,NULL,5,1
51177,"Spotsylvania, VA",VA,2011,401.5,1,NULL,NULL,3,21,NULL,NULL,2,9,53,NULL,NULL,NULL,3,NULL,NULL,39,4
51179,"Stafford, VA",VA,2011,269,2,NULL,NULL,4,14,NULL,NULL,4,3,51,NULL,2,NULL,2,NULL,NULL,34,7
51181,"Surry, VA",VA,2011,278.9,NULL,NULL,NULL,1,6,1,NULL,3,3,26,NULL,1,2,NULL,NULL,NULL,3,1
51193,"Westmoreland, VA",VA,2011,229.4,NULL,NULL,NULL,NULL,15,NULL,NULL,5,3,11,NULL,2,NULL,NULL,NULL,NULL,8,3
51199,"York, VA",VA,2011,104.8,NULL,NULL,NULL,3,13,1,NULL,1,28,32,1,1,8,2,NULL,NULL,26,2
51510,"Alexandria, VA",VA,2011,15,NULL,1,1,NULL,NULL,1,NULL,1,6,38,NULL,2,NULL,NULL,2,2,30,2
51550,"Chesapeake, VA",VA,2011,340.8,3,2,1,11,1,4,NULL,15,70,125,2,5,52,4,7,NULL,68,NULL
51650,"Hampton, VA",VA,2011,51.4,1,4,4,6,1,NULL,1,3,17,74,NULL,3,19,1,NULL,NULL,55,NULL
51670,"Hopewell, VA",VA,2011,10.3,NULL,NULL,1,1,NULL,3,NULL,2,49,7,1,4,NULL,NULL,3,1,10,1
51700,"Newport News, VA",VA,2011,68.7,1,NULL,5,2,4,NULL,1,2,30,61,NULL,7,34,1,1,2,76,3
51710,"Norfolk, VA",VA,2011,54.1,2,NULL,7,4,1,NULL,1,2,28,173,NULL,11,91,3,2,5,89,3
51735,"Poquoson, VA",VA,2011,15.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,NULL,1,NULL,NULL,NULL,NULL,5,NULL
51740,"Portsmouth, VA",VA,2011,33.7,NULL,NULL,2,3,NULL,2,NULL,1,18,33,NULL,5,27,NULL,2,1,34,1
51800,"Suffolk, VA",VA,2011,400.2,1,NULL,1,13,18,1,NULL,4,10,91,NULL,3,1,2,NULL,3,23,1
51810,"Virginia Beach, VA",VA,2011,249,1,NULL,2,7,4,NULL,NULL,5,9,70,1,13,6,2,NULL,NULL,127,5
51830,"Williamsburg, VA",VA,2011,9,NULL,NULL,1,1,2,NULL,1,1,NULL,7,NULL,1,NULL,NULL,1,NULL,7,NULL
53009,"Clallam, WA",WA,2011,1738.3,5,2,2,5,7,3,NULL,6,4,95,NULL,4,25,NULL,NULL,NULL,34,6
53027,"Grays Harbor, WA",WA,2011,1902,3,1,2,8,15,2,NULL,17,13,269,NULL,11,20,3,NULL,NULL,44,7
53029,"Island, WA",WA,2011,208.4,2,2,2,1,6,1,NULL,8,1,6,NULL,5,1,NULL,NULL,NULL,32,1
53031,"Jefferson, WA",WA,2011,1803.7,1,1,1,NULL,3,1,NULL,7,7,54,NULL,3,17,NULL,NULL,NULL,17,3
53033,"King, WA",WA,2011,2115.6,7,8,19,56,71,12,3,36,252,1033,2,46,191,25,25,6,721,23
53035,"Kitsap, WA",WA,2011,394.9,1,2,2,5,16,2,NULL,7,32,82,NULL,9,NULL,NULL,NULL,1,110,5
53045,"Mason, WA",WA,2011,959.4,1,1,1,3,14,2,NULL,9,NULL,92,NULL,2,NULL,NULL,NULL,3,23,1
53049,"Pacific, WA",WA,2011,932.7,2,1,2,5,7,NULL,NULL,7,NULL,110,NULL,5,8,NULL,NULL,NULL,19,2
53053,"Pierce, WA",WA,2011,1669.5,4,5,7,13,35,9,2,47,90,404,4,28,59,3,21,12,299,11
53055,"San Juan, WA",WA,2011,173.9,3,NULL,NULL,5,35,NULL,NULL,5,NULL,9,NULL,2,NULL,NULL,NULL,NULL,16,3
53057,"Skagit, WA",WA,2011,1731.2,2,1,2,4,17,5,NULL,14,58,212,4,7,23,NULL,2,1,59,5
53061,"Snohomish, WA",WA,2011,2087.3,5,4,4,4,33,5,NULL,25,68,466,1,20,38,4,2,5,248,9
53067,"Thurston, WA",WA,2011,722,2,1,3,7,16,2,NULL,17,9,186,NULL,11,4,NULL,1,7,95,4
53069,"Wahkiakum, WA",WA,2011,263.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,34,NULL,1,NULL,NULL,NULL,NULL,2,1
53073,"Whatcom, WA",WA,2011,2106.9,3,3,1,7,25,4,NULL,10,93,279,4,8,54,1,3,3,91,12
55003,"Ashland, WI",WI,2011,1045,2,2,1,3,6,1,NULL,4,6,16,NULL,4,2,NULL,NULL,1,15,5
55007,"Bayfield, WI",WI,2011,1477.9,2,NULL,NULL,2,6,NULL,NULL,11,NULL,13,NULL,5,NULL,NULL,NULL,NULL,15,5
55009,"Brown, WI",WI,2011,529.7,2,3,5,21,2,1,2,19,83,196,1,9,21,NULL,7,4,113,8
55029,"Door, WI",WI,2011,482,2,NULL,1,11,1,NULL,1,10,6,7,NULL,4,13,NULL,NULL,NULL,24,4
55031,"Douglas, WI",WI,2011,1304.1,3,NULL,1,4,1,1,NULL,18,21,22,3,11,27,NULL,2,1,15,6
55051,"Iron, WI",WI,2011,758.2,NULL,NULL,NULL,3,6,NULL,NULL,5,NULL,9,NULL,3,NULL,NULL,NULL,NULL,5,5
55059,"Kenosha, WI",WI,2011,272,4,NULL,2,4,7,2,NULL,10,56,32,NULL,6,NULL,NULL,NULL,1,72,9
55061,"Kewaunee, WI",WI,2011,342.5,NULL,NULL,1,2,3,1,2,4,8,5,NULL,4,NULL,NULL,NULL,NULL,19,5
55071,"Manitowoc, WI",WI,2011,589.1,1,2,3,6,2,3,NULL,20,73,86,NULL,6,18,NULL,NULL,NULL,55,11
55075,"Marinette, WI",WI,2011,1399.3,1,NULL,1,5,15,1,NULL,16,53,18,NULL,6,4,NULL,NULL,1,30,6
55079,"Milwaukee, WI",WI,2011,241.4,2,11,20,31,3,7,1,13,415,478,NULL,37,39,NULL,7,25,539,4
55083,"Oconto, WI",WI,2011,998,1,NULL,1,3,8,NULL,NULL,17,29,10,NULL,6,NULL,NULL,NULL,NULL,23,5
55089,"Ozaukee, WI",WI,2011,233.1,NULL,NULL,1,2,2,3,1,9,64,42,NULL,6,1,NULL,NULL,NULL,38,6
55101,"Racine, WI",WI,2011,332.5,6,2,3,9,2,1,NULL,14,93,36,NULL,19,NULL,NULL,2,2,91,11
55117,"Sheboygan, WI",WI,2011,511.3,1,2,3,7,1,1,NULL,26,131,63,NULL,8,1,1,NULL,5,70,12
60010,"Eastern District, AS",AS,2011,25.88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60020,"Manua District, AS",AS,2011,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
